epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1466.26,0.48187,0.23359,0.7708,0.68649,0.55992,0.59731,0.44762,0.69804,0.33472,0.78476,0.000775822,0.000775822,0.000775822
83,1483.77,0.49015,0.23388,0.77203,0.70067,0.54957,0.60209,0.44967,0.71568,0.3335,0.78583,0.00076482,0.00076482,0.00076482
84,1500.88,0.4766,0.22913,0.77105,0.71272,0.54761,0.60322,0.44986,0.7149,0.33661,0.78616,0.000753817,0.000753817,0.000753817
85,1518.28,0.49394,0.23831,0.77085,0.68248,0.5533,0.59568,0.44832,0.73154,0.339,0.78591,0.000742815,0.000742815,0.000742815
86,1535.63,0.47405,0.22863,0.76995,0.70201,0.55419,0.60277,0.45023,0.72754,0.33733,0.78625,0.000731813,0.000731813,0.000731813
87,1552.86,0.47426,0.23091,0.77182,0.69791,0.55441,0.5973,0.44249,0.73432,0.34835,0.78652,0.000720811,0.000720811,0.000720811
88,1570.15,0.47464,0.23157,0.77047,0.70975,0.55834,0.6164,0.45277,0.72291,0.34807,0.7856,0.000709809,0.000709809,0.000709809
89,1587.23,0.47427,0.23281,0.77101,0.67944,0.55807,0.60367,0.44657,0.73204,0.34102,0.78627,0.000698806,0.000698806,0.000698806
90,1604.49,0.47103,0.23016,0.76975,0.74528,0.55061,0.61818,0.45277,0.7381,0.34408,0.78753,0.000687804,0.000687804,0.000687804
91,1621.81,0.46447,0.22616,0.76983,0.70893,0.55528,0.60769,0.4478,0.73214,0.34692,0.78659,0.000676802,0.000676802,0.000676802
92,1639.1,0.46491,0.22794,0.76941,0.719,0.55806,0.61098,0.45443,0.70272,0.32832,0.78555,0.0006658,0.0006658,0.0006658
93,1656.3,0.47615,0.23038,0.76952,0.66226,0.55465,0.59716,0.44776,0.71963,0.33762,0.78551,0.000654798,0.000654798,0.000654798
94,1673.43,0.46222,0.22371,0.76932,0.75561,0.55894,0.62219,0.45677,0.71898,0.33992,0.78671,0.000643795,0.000643795,0.000643795
95,1690.74,0.45568,0.22269,0.76897,0.70539,0.56424,0.62262,0.4592,0.70688,0.34003,0.78492,0.000632793,0.000632793,0.000632793
96,1708.2,0.45856,0.22258,0.77031,0.71787,0.55181,0.61444,0.45286,0.73342,0.34385,0.78702,0.000621791,0.000621791,0.000621791
97,1725.37,0.45583,0.2224,0.76926,0.67691,0.5699,0.61764,0.4532,0.74714,0.34891,0.7874,0.000610789,0.000610789,0.000610789
98,1742.49,0.46389,0.22516,0.76968,0.56327,0.60781,0.63374,0.46036,0.735,0.34702,0.78631,0.000599787,0.000599787,0.000599787
99,1759.59,0.45247,0.21921,0.77001,0.55462,0.60373,0.62357,0.4594,0.71745,0.33662,0.78576,0.000588784,0.000588784,0.000588784
100,1776.7,0.45076,0.21986,0.77026,0.73772,0.56176,0.62447,0.458,0.72116,0.33904,0.78647,0.000577782,0.000577782,0.000577782
101,1794.11,0.46046,0.22285,0.76898,0.57347,0.60019,0.63549,0.4598,0.73569,0.34225,0.78754,0.00056678,0.00056678,0.00056678
102,1811.33,0.44803,0.21598,0.77021,0.5556,0.60665,0.62479,0.45585,0.72589,0.33779,0.78682,0.000555778,0.000555778,0.000555778
103,1828.66,0.45334,0.21915,0.77006,0.6571,0.56486,0.61341,0.44967,0.74335,0.33724,0.78785,0.000544776,0.000544776,0.000544776
104,1845.76,0.44324,0.21535,0.76981,0.65432,0.58796,0.63418,0.46054,0.7212,0.33717,0.78585,0.000533773,0.000533773,0.000533773
105,1863.26,0.4425,0.21459,0.76887,0.63838,0.55373,0.59105,0.44173,0.7301,0.33112,0.78643,0.000522771,0.000522771,0.000522771
106,1880.69,0.43756,0.21241,0.7692,0.63975,0.55238,0.59095,0.44514,0.71531,0.33733,0.78562,0.000511769,0.000511769,0.000511769
107,1897.88,0.44532,0.21507,0.76965,0.55822,0.61441,0.62637,0.46337,0.71636,0.33119,0.78564,0.000500767,0.000500767,0.000500767
108,1915.01,0.43474,0.21136,0.76817,0.56069,0.61173,0.62386,0.45535,0.73851,0.3389,0.78713,0.000489765,0.000489765,0.000489765
109,1932.16,0.44485,0.21554,0.7704,0.55006,0.61569,0.62213,0.45779,0.72737,0.33429,0.78666,0.000478762,0.000478762,0.000478762
110,1949.62,0.43386,0.21162,0.76841,0.56467,0.61649,0.62236,0.45788,0.72839,0.32943,0.78595,0.00046776,0.00046776,0.00046776
111,1966.79,0.43545,0.21206,0.76882,0.66386,0.5813,0.62515,0.45788,0.73553,0.33964,0.78598,0.000456758,0.000456758,0.000456758
112,1983.96,0.43553,0.21168,0.76851,0.69284,0.57151,0.62106,0.45619,0.74071,0.33833,0.78698,0.000445756,0.000445756,0.000445756
113,2001,0.43888,0.21338,0.76902,0.73153,0.56937,0.63455,0.46452,0.71969,0.33761,0.78556,0.000434754,0.000434754,0.000434754
114,2018.3,0.43491,0.21185,0.76759,0.67072,0.55718,0.60788,0.45072,0.73301,0.33864,0.78619,0.000423751,0.000423751,0.000423751
115,2035.44,0.43151,0.21079,0.76908,0.57807,0.60867,0.63592,0.46174,0.73666,0.33735,0.78649,0.000412749,0.000412749,0.000412749
116,2052.65,0.4316,0.21072,0.76858,0.66779,0.56269,0.60941,0.4513,0.74758,0.34175,0.78748,0.000401747,0.000401747,0.000401747
117,2069.83,0.42831,0.20793,0.76834,0.56193,0.61955,0.62617,0.46108,0.74143,0.33676,0.78709,0.000390745,0.000390745,0.000390745
118,2087.1,0.43268,0.21091,0.76851,0.67749,0.56559,0.61141,0.45387,0.74208,0.33749,0.78697,0.000379743,0.000379743,0.000379743
119,2104.59,0.43109,0.20972,0.76785,0.54303,0.61513,0.60443,0.45289,0.7297,0.3314,0.78647,0.00036874,0.00036874,0.00036874
120,2121.66,0.42545,0.20892,0.76848,0.59505,0.59705,0.61774,0.4528,0.74434,0.33726,0.78742,0.000357738,0.000357738,0.000357738
121,2138.85,0.42221,0.20703,0.76875,0.71393,0.56864,0.625,0.45577,0.72921,0.33713,0.78591,0.000346736,0.000346736,0.000346736
122,2156.01,0.41884,0.20455,0.76803,0.64398,0.59161,0.62308,0.4586,0.7314,0.33384,0.78644,0.000335734,0.000335734,0.000335734
123,2173.33,0.4192,0.20434,0.76795,0.65978,0.56353,0.60684,0.44911,0.73236,0.33844,0.7862,0.000324732,0.000324732,0.000324732
124,2190.53,0.42303,0.20611,0.76644,0.56019,0.62333,0.62676,0.46003,0.72732,0.33222,0.78601,0.000313729,0.000313729,0.000313729
125,2207.66,0.42014,0.2041,0.76801,0.60636,0.60447,0.64658,0.46799,0.73003,0.33662,0.78618,0.000302727,0.000302727,0.000302727
126,2226.3,0.41539,0.20078,0.769,0.56883,0.61537,0.62536,0.46221,0.72586,0.33013,0.78582,0.000291725,0.000291725,0.000291725
127,2243.35,0.4175,0.2012,0.7686,0.5706,0.61818,0.63173,0.46418,0.73969,0.3352,0.78655,0.000280723,0.000280723,0.000280723
128,2260.7,0.41576,0.20031,0.76853,0.58573,0.61443,0.64291,0.46418,0.74183,0.34176,0.78659,0.000269721,0.000269721,0.000269721
129,2277.85,0.41432,0.20202,0.76869,0.57561,0.61203,0.63265,0.46067,0.73594,0.33366,0.78581,0.000258718,0.000258718,0.000258718
130,2295.14,0.41037,0.19922,0.76796,0.58292,0.61573,0.63982,0.46527,0.73265,0.33619,0.78628,0.000247716,0.000247716,0.000247716
131,2312.35,0.4065,0.19756,0.76738,0.68289,0.56327,0.61042,0.45431,0.73228,0.33448,0.78633,0.000236714,0.000236714,0.000236714
132,2329.65,0.40847,0.19853,0.76792,0.58325,0.60407,0.62323,0.45827,0.73039,0.33305,0.78602,0.000225712,0.000225712,0.000225712
133,2346.75,0.40849,0.19771,0.76754,0.66401,0.57853,0.62715,0.46078,0.73198,0.33787,0.78592,0.00021471,0.00021471,0.00021471
134,2364.06,0.40573,0.19672,0.76771,0.69577,0.56773,0.61916,0.45842,0.72674,0.33108,0.78589,0.000203707,0.000203707,0.000203707
135,2381.19,0.40407,0.19546,0.76787,0.72924,0.56386,0.62962,0.45703,0.7394,0.33897,0.78696,0.000192705,0.000192705,0.000192705
136,2398.33,0.40534,0.19541,0.76821,0.71875,0.57125,0.63485,0.46239,0.73147,0.33501,0.78644,0.000181703,0.000181703,0.000181703
137,2415.65,0.40064,0.19405,0.76712,0.71215,0.5675,0.62253,0.45858,0.72683,0.33538,0.78594,0.000170701,0.000170701,0.000170701
138,2432.89,0.40003,0.19374,0.76817,0.64918,0.58533,0.63402,0.46078,0.74003,0.33907,0.78704,0.000159699,0.000159699,0.000159699
139,2450.04,0.40025,0.19308,0.7675,0.57975,0.60952,0.63857,0.46532,0.73581,0.33847,0.78656,0.000148696,0.000148696,0.000148696
140,2467.23,0.39842,0.1919,0.76779,0.56707,0.61007,0.6291,0.46104,0.73675,0.33583,0.78661,0.000137694,0.000137694,0.000137694
141,2485.05,0.3723,0.18789,0.76626,0.7189,0.55978,0.61553,0.45087,0.7515,0.34209,0.78748,0.000126692,0.000126692,0.000126692
142,2502.01,0.36487,0.1854,0.76587,0.76427,0.55885,0.62873,0.45272,0.75467,0.3406,0.78767,0.00011569,0.00011569,0.00011569
143,2518.96,0.36055,0.18409,0.76319,0.60288,0.60074,0.64538,0.46425,0.75047,0.33967,0.78746,0.000104688,0.000104688,0.000104688
144,2535.85,0.35955,0.18315,0.76432,0.6931,0.57381,0.62825,0.45557,0.75036,0.34109,0.78769,9.36854e-05,9.36854e-05,9.36854e-05
145,2552.77,0.36068,0.18185,0.76477,0.72272,0.56806,0.62945,0.45605,0.75435,0.34231,0.78798,8.26832e-05,8.26832e-05,8.26832e-05
146,2569.81,0.35814,0.1803,0.7644,0.62895,0.58908,0.63115,0.45777,0.74289,0.33768,0.78708,7.1681e-05,7.1681e-05,7.1681e-05
147,2586.68,0.35151,0.17868,0.76446,0.75404,0.56866,0.63555,0.46074,0.74141,0.33632,0.78707,6.06788e-05,6.06788e-05,6.06788e-05
148,2603.6,0.35379,0.17834,0.7644,0.72263,0.57285,0.6374,0.46178,0.74737,0.33945,0.78757,4.96766e-05,4.96766e-05,4.96766e-05
149,2620.53,0.35019,0.17726,0.7649,0.69521,0.57513,0.63371,0.45951,0.7475,0.34014,0.78735,3.86744e-05,3.86744e-05,3.86744e-05
150,2637.78,0.34949,0.17674,0.76464,0.73609,0.56816,0.63459,0.46061,0.74689,0.33829,0.78754,2.76722e-05,2.76722e-05,2.76722e-05
